Tienda,CR Tienda,StoreName,Ocurrencia en Caja,Fecha de Registro,Descrpción evento,EventId
Camino Real CLA,50MIW,DCUMIWVT1,12/06/2024 20:52,12/06/2024 20:55,El cierre anterior del sistema a las 08:50:22 p. m. del ?12/?06/?2024 resultó inesperado.,6008
Camino Real CLA,50MIW,DCUMIWVT1,12/06/2024 20:59,12/06/2024 21:02,El cierre anterior del sistema a las 08:57:10 p. m. del ?12/?06/?2024 resultó inesperado.,6008
Camino Real CLA,50MIW,DCUMIWVT1,16/06/2024 03:16,16/06/2024 03:19,El cierre anterior del sistema a las 03:14:09 a. m. del ?16/?06/?2024 resultó inesperado.,6008
Camino Real CLA,50MIW,DCUMIWVT1,16/06/2024 07:23,16/06/2024 07:25,El cierre anterior del sistema a las 07:19:49 a. m. del ?16/?06/?2024 resultó inesperado.,6008
Camino Real CLA,50MIW,DCUMIWVT1,19/06/2024 03:47,19/06/2024 03:49,El cierre anterior del sistema a las 03:46:12 a. m. del ?19/?06/?2024 resultó inesperado.,6008
Camino Real CLA,50MIW,DCUMIWVT1,20/06/2024 04:50,20/06/2024 04:52,El cierre anterior del sistema a las 04:49:35 a. m. del ?20/?06/?2024 resultó inesperado.,6008
Camino Real CLA,50MIW,DCUMIWVT1,20/06/2024 14:26,20/06/2024 14:28,El cierre anterior del sistema a las 02:25:28 p. m. del ?20/?06/?2024 resultó inesperado.,6008
Camino Real CLA,50MIW,DCUMIWVT1,20/06/2024 19:56,20/06/2024 19:58,El cierre anterior del sistema a las 07:55:19 p. m. del ?20/?06/?2024 resultó inesperado.,6008
Camino Real CLA,50MIW,DCUMIWVT1,22/06/2024 06:17,22/06/2024 06:20,El cierre anterior del sistema a las 06:16:36 a. m. del ?22/?06/?2024 resultó inesperado.,6008
Camino Real CLA,50MIW,DCUMIWVT1,24/06/2024 13:57,24/06/2024 13:59,El cierre anterior del sistema a las 01:55:47 p. m. del ?24/?06/?2024 resultó inesperado.,6008
Camino Real CLA,50MIW,DCUMIWVT1,24/06/2024 16:08,24/06/2024 16:11,El cierre anterior del sistema a las 04:08:06 p. m. del ?24/?06/?2024 resultó inesperado.,6008
Camino Real CLA,50MIW,DCUMIWVT1,25/06/2024 08:17,25/06/2024 08:19,El cierre anterior del sistema a las 07:17:33 a. m. del ?25/?06/?2024 resultó inesperado.,6008
Camino Real CLA,50MIW,DCUMIWVT1,25/06/2024 08:28,25/06/2024 08:30,El cierre anterior del sistema a las 08:23:01 a. m. del ?25/?06/?2024 resultó inesperado.,6008
Camino Real CLA,50MIW,DCUMIWPRO,04/06/2024 01:20,04/06/2024 01:23,El cierre anterior del sistema a las 01:20:27 a. m. del ?04/?06/?2024 resultó inesperado.,6008
Camino Real CLA,50MIW,DCUMIWPRO,23/06/2024 03:55,23/06/2024 03:57,El cierre anterior del sistema a las 03:54:34 a. m. del ?23/?06/?2024 resultó inesperado.,6008
Camino Real CLA,50MIW,DCUMIWPRO,23/06/2024 06:32,23/06/2024 06:35,El cierre anterior del sistema a las 06:31:26 a. m. del ?23/?06/?2024 resultó inesperado.,6008
Camino Real CLA,50MIW,DCUMIWPRO,25/06/2024 00:45,25/06/2024 00:47,El cierre anterior del sistema a las 12:44:16 a. m. del ?25/?06/?2024 resultó inesperado.,6008
Camino Real CLA,50MIW,DCUMIWPRO,03/06/2024 09:42,03/06/2024 09:47,El proceso C:\Windows\SysWOW64\shutdown.exe (DCUMIWPRO) inició el Apagar del equipo DCUMIWPRO en nombre del usuario DCUMIWPRO\Tienda por el siguiente motivo: No se encontraron títulos para este motivo Código de motivo: 0x800000ff Tipo de apagado: Apagar Comentario:,1074
Camino Real CLA,50MIW,DCUMIWPRO,04/06/2024 01:18,04/06/2024 01:23,El proceso C:\windows\SysWOW64\shutdown.exe (DCUMIWPRO) inició el Reinicio del equipo DCUMIWPRO en nombre del usuario DCUMIWPRO\Apps_Operations por el siguiente motivo: No se encontraron títulos para este motivo Código de motivo: 0x800000ff Tipo de apagado: Reinicio Comentario:,1074
Camino Real CLA,50MIW,DCUMIWPRO,04/06/2024 01:20,04/06/2024 01:23,El proceso C:\windows\servicing\TrustedInstaller.exe (DCUMIWPRO) inició el Reinicio del equipo DCUMIWPRO en nombre del usuario NT AUTHORITY\SYSTEM por el siguiente motivo: Sistema operativo: actualización (planeada) Código de motivo: 0x80020003 Tipo de apagado: Reinicio Comentario:,1074
Camino Real CLA,50MIW,DCUMIWPRO,04/06/2024 19:15,04/06/2024 19:19,El proceso C:\windows\system32\winlogon.exe (DCUMIWPRO) inició el Reinicio del equipo DCUMIWPRO en nombre del usuario NT AUTHORITY\SYSTEM por el siguiente motivo: No se encontraron títulos para este motivo Código de motivo: 0x500ff Tipo de apagado: Reinicio Comentario:,1074
Camino Real CLA,50MIW,DCUMIWPRO,04/06/2024 19:23,04/06/2024 19:26,El proceso C:\windows\system32\winlogon.exe (DCUMIWPRO) inició el Reinicio del equipo DCUMIWPRO en nombre del usuario NT AUTHORITY\SYSTEM por el siguiente motivo: No se encontraron títulos para este motivo Código de motivo: 0x500ff Tipo de apagado: Reinicio Comentario:,1074
Camino Real CLA,50MIW,DCUMIWPRO,05/06/2024 04:45,05/06/2024 04:49,El proceso C:\windows\SysWOW64\shutdown.exe (DCUMIWPRO) inició el Reinicio del equipo DCUMIWPRO en nombre del usuario DCUMIWPRO\Apps_Operations por el siguiente motivo: No se encontraron títulos para este motivo Código de motivo: 0x800000ff Tipo de apagado: Reinicio Comentario:,1074
Camino Real CLA,50MIW,DCUMIWPRO,06/06/2024 06:08,06/06/2024 06:12,El proceso C:\windows\SysWOW64\shutdown.exe (DCUMIWPRO) inició el Reinicio del equipo DCUMIWPRO en nombre del usuario DCUMIWPRO\Apps_Operations por el siguiente motivo: No se encontraron títulos para este motivo Código de motivo: 0x800000ff Tipo de apagado: Reinicio Comentario:,1074
Camino Real CLA,50MIW,DCUMIWPRO,06/06/2024 08:05,06/06/2024 08:45,El proceso C:\windows\system32\winlogon.exe (DCUMIWPRO) inició el Apagar del equipo DCUMIWPRO en nombre del usuario NT AUTHORITY\SYSTEM por el siguiente motivo: No se encontraron títulos para este motivo Código de motivo: 0x500ff Tipo de apagado: Apagar Comentario:,1074
Camino Real CLA,50MIW,DCUMIWPRO,13/06/2024 11:59,13/06/2024 14:46,El proceso C:\windows\system32\winlogon.exe (DCUMIWPRO) inició el Apagar del equipo DCUMIWPRO en nombre del usuario NT AUTHORITY\SYSTEM por el siguiente motivo: No se encontraron títulos para este motivo Código de motivo: 0x500ff Tipo de apagado: Apagar Comentario:,1074
Camino Real CLA,50MIW,DCUMIWPRO,23/06/2024 03:52,23/06/2024 03:57,El proceso C:\windows\system32\winlogon.exe (DCUMIWPRO) inició el Apagar del equipo DCUMIWPRO en nombre del usuario NT AUTHORITY\SYSTEM por el siguiente motivo: No se encontraron títulos para este motivo Código de motivo: 0x500ff Tipo de apagado: Apagar Comentario:,1074
Camino Real CLA,50MIW,DCUMIWPRO,23/06/2024 06:31,23/06/2024 06:35,El proceso C:\windows\system32\winlogon.exe (DCUMIWPRO) inició el Apagar del equipo DCUMIWPRO en nombre del usuario NT AUTHORITY\SYSTEM por el siguiente motivo: No se encontraron títulos para este motivo Código de motivo: 0x500ff Tipo de apagado: Apagar Comentario:,1074
Camino Real CLA,50MIW,DCUMIWPRO,23/06/2024 06:58,23/06/2024 14:45,El proceso C:\windows\system32\winlogon.exe (DCUMIWPRO) inició el Apagar del equipo DCUMIWPRO en nombre del usuario NT AUTHORITY\SYSTEM por el siguiente motivo: No se encontraron títulos para este motivo Código de motivo: 0x500ff Tipo de apagado: Apagar Comentario:,1074
Camino Real CLA,50MIW,DCUMIWPRO,25/06/2024 13:20,25/06/2024 14:45,El proceso C:\windows\system32\winlogon.exe (DCUMIWPRO) inició el Apagar del equipo DCUMIWPRO en nombre del usuario NT AUTHORITY\SYSTEM por el siguiente motivo: No se encontraron títulos para este motivo Código de motivo: 0x500ff Tipo de apagado: Apagar Comentario:,1074
Camino Real CLA,50MIW,DCUMIWVT1,04/06/2024 02:53,04/06/2024 02:57,El proceso C:\windows\SysWOW64\shutdown.exe (DCUMIWVT1) inició el Reinicio del equipo DCUMIWVT1 en nombre del usuario DCUMIWVT1\Apps_Operations por el siguiente motivo: No se encontraron títulos para este motivo Código de motivo: 0x800000ff Tipo de apagado: Reinicio Comentario:,1074
Camino Real CLA,50MIW,DCUMIWVT1,04/06/2024 12:59,04/06/2024 14:45,El proceso C:\windows\system32\winlogon.exe (DCUMIWVT1) inició el Apagar del equipo DCUMIWVT1 en nombre del usuario NT AUTHORITY\SYSTEM por el siguiente motivo: No se encontraron títulos para este motivo Código de motivo: 0x500ff Tipo de apagado: Apagar Comentario:,1074
Camino Real CLA,50MIW,DCUMIWVT1,05/06/2024 05:37,05/06/2024 05:41,El proceso C:\windows\SysWOW64\shutdown.exe (DCUMIWVT1) inició el Reinicio del equipo DCUMIWVT1 en nombre del usuario DCUMIWVT1\Apps_Operations por el siguiente motivo: No se encontraron títulos para este motivo Código de motivo: 0x800000ff Tipo de apagado: Reinicio Comentario:,1074
Camino Real CLA,50MIW,DCUMIWVT1,06/06/2024 08:08,06/06/2024 08:50,El proceso C:\windows\system32\winlogon.exe (DCUMIWVT1) inició el Apagar del equipo DCUMIWVT1 en nombre del usuario NT AUTHORITY\SYSTEM por el siguiente motivo: No se encontraron títulos para este motivo Código de motivo: 0x500ff Tipo de apagado: Apagar Comentario:,1074
Camino Real CLA,50MIW,DCUMIWVT1,12/06/2024 06:45,12/06/2024 06:49,El proceso C:\windows\servicing\TrustedInstaller.exe (DCUMIWVT1) inició el Reinicio del equipo DCUMIWVT1 en nombre del usuario NT AUTHORITY\SYSTEM por el siguiente motivo: Sistema operativo: actualización (planeada) Código de motivo: 0x80020003 Tipo de apagado: Reinicio Comentario:,1074
Camino Real CLA,50MIW,DCUMIWVT1,12/06/2024 18:04,12/06/2024 20:46,El proceso C:\windows\system32\winlogon.exe (DCUMIWVT1) inició el Apagar del equipo DCUMIWVT1 en nombre del usuario NT AUTHORITY\SYSTEM por el siguiente motivo: No se encontraron títulos para este motivo Código de motivo: 0x500ff Tipo de apagado: Apagar Comentario:,1074
Camino Real CLA,50MIW,DCUMIWVT1,13/06/2024 01:43,13/06/2024 01:48,El proceso C:\windows\SysWOW64\shutdown.exe (DCUMIWVT1) inició el Reinicio del equipo DCUMIWVT1 en nombre del usuario DCUMIWVT1\Apps_Operations por el siguiente motivo: No se encontraron títulos para este motivo Código de motivo: 0x800000ff Tipo de apagado: Reinicio Comentario:,1074
Camino Real CLA,50MIW,DCUMIWVT1,13/06/2024 06:37,13/06/2024 06:42,El proceso C:\windows\SysWOW64\shutdown.exe (DCUMIWVT1) inició el Reinicio del equipo DCUMIWVT1 en nombre del usuario DCUMIWVT1\Apps_Operations por el siguiente motivo: No se encontraron títulos para este motivo Código de motivo: 0x800000ff Tipo de apagado: Reinicio Comentario:,1074
Camino Real CLA,50MIW,DCUMIWVT1,13/06/2024 17:29,13/06/2024 20:47,El proceso C:\windows\system32\winlogon.exe (DCUMIWVT1) inició el Apagar del equipo DCUMIWVT1 en nombre del usuario NT AUTHORITY\SYSTEM por el siguiente motivo: No se encontraron títulos para este motivo Código de motivo: 0x500ff Tipo de apagado: Apagar Comentario:,1074
Camino Real CLA,50MIW,DCUMIWVT1,14/06/2024 17:17,14/06/2024 20:46,El proceso C:\windows\system32\winlogon.exe (DCUMIWVT1) inició el Apagar del equipo DCUMIWVT1 en nombre del usuario NT AUTHORITY\SYSTEM por el siguiente motivo: No se encontraron títulos para este motivo Código de motivo: 0x500ff Tipo de apagado: Apagar Comentario:,1074
Camino Real CLA,50MIW,DCUMIWVT1,16/06/2024 12:38,16/06/2024 14:45,El proceso C:\windows\system32\winlogon.exe (DCUMIWVT1) inició el Apagar del equipo DCUMIWVT1 en nombre del usuario NT AUTHORITY\SYSTEM por el siguiente motivo: No se encontraron títulos para este motivo Código de motivo: 0x500ff Tipo de apagado: Apagar Comentario:,1074
Camino Real CLA,50MIW,DCUMIWVT1,19/06/2024 13:37,19/06/2024 14:45,El proceso C:\windows\system32\winlogon.exe (DCUMIWVT1) inició el Apagar del equipo DCUMIWVT1 en nombre del usuario NT AUTHORITY\SYSTEM por el siguiente motivo: No se encontraron títulos para este motivo Código de motivo: 0x500ff Tipo de apagado: Apagar Comentario:,1074
Camino Real CLA,50MIW,DCUMIWVT1,20/06/2024 02:47,20/06/2024 02:51,El proceso C:\windows\SysWOW64\shutdown.exe (DCUMIWVT1) inició el Reinicio del equipo DCUMIWVT1 en nombre del usuario DCUMIWVT1\Apps_Operations por el siguiente motivo: No se encontraron títulos para este motivo Código de motivo: 0x800000ff Tipo de apagado: Reinicio Comentario:,1074
Camino Real CLA,50MIW,DCUMIWVT1,20/06/2024 19:55,20/06/2024 19:58,El proceso C:\windows\system32\winlogon.exe (DCUMIWVT1) inició el Apagar del equipo DCUMIWVT1 en nombre del usuario NT AUTHORITY\SYSTEM por el siguiente motivo: No se encontraron títulos para este motivo Código de motivo: 0x500ff Tipo de apagado: Apagar Comentario:,1074
Camino Real CLA,50MIW,DCUMIWVT1,21/06/2024 16:04,21/06/2024 20:47,El proceso C:\windows\system32\winlogon.exe (DCUMIWVT1) inició el Apagar del equipo DCUMIWVT1 en nombre del usuario NT AUTHORITY\SYSTEM por el siguiente motivo: No se encontraron títulos para este motivo Código de motivo: 0x500ff Tipo de apagado: Apagar Comentario:,1074
Camino Real CLA,50MIW,DCUMIWVT1,22/06/2024 16:20,22/06/2024 20:45,El proceso C:\windows\system32\winlogon.exe (DCUMIWVT1) inició el Apagar del equipo DCUMIWVT1 en nombre del usuario NT AUTHORITY\SYSTEM por el siguiente motivo: No se encontraron títulos para este motivo Código de motivo: 0x500ff Tipo de apagado: Apagar Comentario:,1074
Camino Real CLA,50MIW,DCUMIWVT1,24/06/2024 16:07,24/06/2024 16:11,El proceso C:\windows\system32\winlogon.exe (DCUMIWVT1) inició el Apagar del equipo DCUMIWVT1 en nombre del usuario NT AUTHORITY\SYSTEM por el siguiente motivo: No se encontraron títulos para este motivo Código de motivo: 0x500ff Tipo de apagado: Apagar Comentario:,1074
Camino Real CLA,50MIW,DCUMIWVT1,24/06/2024 18:23,24/06/2024 20:45,El proceso C:\windows\system32\winlogon.exe (DCUMIWVT1) inició el Apagar del equipo DCUMIWVT1 en nombre del usuario NT AUTHORITY\SYSTEM por el siguiente motivo: No se encontraron títulos para este motivo Código de motivo: 0x500ff Tipo de apagado: Apagar Comentario:,1074
Camino Real CLA,50MIW,DCUMIWVT1,25/06/2024 12:01,25/06/2024 14:51,El proceso C:\windows\system32\winlogon.exe (DCUMIWVT1) inició el Apagar del equipo DCUMIWVT1 en nombre del usuario NT AUTHORITY\SYSTEM por el siguiente motivo: No se encontraron títulos para este motivo Código de motivo: 0x500ff Tipo de apagado: Apagar Comentario:,1074
